x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,+4.74874363840E+00
-49.98000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.96000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.94000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.92000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.90000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866510E+00
-49.88000E-06,-439.69839811E-03,-376.88438594E-03,-25.12566745E-03,+4.94974866509E+00
-49.86000E-06,-238.69337141E-03,-175.87935924E-03,-226.13069415E-03,+4.94974866509E+00
-49.84000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+5.15075369179E+00
-49.82000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566746E-03,+4.94974866509E+00
-49.80000E-06,-238.69337142E-03,-376.88438594E-03,-226.13069415E-03,+5.15075369179E+00
-49.78000E-06,-37.68834472E-03,+25.12566745E-03,-25.12566745E-03,+4.94974866509E+00
-49.76000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.74000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,+4.94974866509E+00
-49.72000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.70000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.68000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.66000E-06,-37.68834471E-03,-577.88941263E-03,+3.79396983981E+00,+4.94974866509E+00
-49.64000E-06,-238.69337142E-03,+226.13069416E-03,+5.80402010679E+00,+5.35175871849E+00
-49.62000E-06,-37.68834472E-03,+25.12566745E-03,+5.40201005340E+00,+5.15075369179E+00
-49.60000E-06,-238.69337142E-03,-577.88941264E-03,+4.39698491991E+00,+4.94974866509E+00
-49.58000E-06,-238.69337142E-03,-175.87935925E-03,+5.60301508009E+00,+4.74874363840E+00
-49.56000E-06,-238.69337142E-03,+25.12566745E-03,+4.79899497330E+00,+5.35175871848E+00
-49.54000E-06,-238.69337142E-03,-778.89443933E-03,+5.40201005340E+00,+4.54773861171E+00
-49.52000E-06,-238.69337142E-03,-175.87935924E-03,+4.79899497330E+00,+5.15075369179E+00
-49.50000E-06,-238.69337142E-03,-376.88438594E-03,+5.40201005339E+00,+5.15075369179E+00
-49.48000E-06,-238.69337141E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-49.46000E-06,-238.69337142E-03,-175.87935925E-03,+4.99999999999E+00,+5.15075369178E+00
-49.44000E-06,-439.69839811E-03,+25.12566745E-03,+5.20100502670E+00,+4.94974866509E+00
-49.42000E-06,-238.69337142E-03,-376.88438593E-03,+4.99999999999E+00,+5.15075369178E+00
-49.40000E-06,-238.69337142E-03,-376.88438594E-03,+5.00000000000E+00,+4.74874363841E+00
-49.38000E-06,-238.69337142E-03,-376.88438593E-03,+4.79899497331E+00,+4.94974866510E+00
-49.36000E-06,-439.69839810E-03,-175.87935925E-03,+5.00000000001E+00,+4.94974866509E+00
-49.34000E-06,-238.69337142E-03,-376.88438594E-03,+4.79899497331E+00,+4.94974866509E+00
-49.32000E-06,-238.69337142E-03,+25.12566744E-03,+4.79899497331E+00,+4.94974866511E+00
-49.30000E-06,-238.69337142E-03,+25.12566744E-03,+5.00000000000E+00,+4.94974866509E+00
-49.28000E-06,-238.69337142E-03,-376.88438594E-03,+4.79899497331E+00,+4.94974866509E+00
-49.26000E-06,-439.69839811E-03,-175.87935925E-03,+5.20100502669E+00,+4.94974866509E+00
-49.24000E-06,-37.68834473E-03,-376.88438593E-03,+4.79899497330E+00,+4.94974866509E+00
-49.22000E-06,-238.69337142E-03,-376.88438593E-03,+4.79899497331E+00,+4.94974866509E+00
-49.20000E-06,-238.69337140E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866511E+00
-49.18000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-49.16000E-06,-238.69337140E-03,-175.87935925E-03,+4.99999999999E+00,+4.94974866509E+00
-49.14000E-06,-238.69337142E-03,-376.88438593E-03,+4.79899497330E+00,+5.15075369178E+00
-49.12000E-06,-238.69337142E-03,-175.87935926E-03,+5.00000000000E+00,+4.94974866509E+00
-49.10000E-06,-238.69337142E-03,-175.87935923E-03,+4.79899497332E+00,+5.15075369178E+00
-49.08000E-06,-439.69839811E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866508E+00
-49.06000E-06,-238.69337142E-03,-175.87935925E-03,+4.99999999999E+00,+5.15075369178E+00
-49.04000E-06,-439.69839810E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-49.02000E-06,-238.69337143E-03,-376.88438593E-03,+4.79899497330E+00,+5.15075369178E+00
-49.00000E-06,-238.69337140E-03,-376.88438593E-03,+5.00000000000E+00,+5.15075369178E+00
-48.98000E-06,-439.69839811E-03,-376.88438593E-03,+5.00000000000E+00,+4.74874363843E+00
-48.96000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+5.15075369179E+00
-48.94000E-06,-439.69839810E-03,+25.12566744E-03,+4.79899497330E+00,+4.74874363841E+00
-48.92000E-06,-439.69839810E-03,-175.87935926E-03,+5.00000000000E+00,+4.94974866508E+00
-48.90000E-06,-439.69839810E-03,-175.87935925E-03,+4.79899497332E+00,+4.94974866509E+00
-48.88000E-06,-238.69337142E-03,+25.12566744E-03,+4.79899497330E+00,+5.15075369179E+00
-48.86000E-06,-439.69839809E-03,-175.87935925E-03,+4.79899497330E+00,+4.94974866509E+00
-48.84000E-06,-439.69839809E-03,-175.87935926E-03,+4.79899497332E+00,+4.94974866509E+00
-48.82000E-06,-439.69839809E-03,-376.88438592E-03,+4.79899497332E+00,+4.94974866509E+00
-48.80000E-06,-238.69337142E-03,-175.87935926E-03,+5.00000000000E+00,+4.94974866509E+00
-48.78000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497332E+00,+4.94974866509E+00
-48.76000E-06,-439.69839811E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-48.74000E-06,-238.69337142E-03,+25.12566745E-03,+4.99999999998E+00,+4.94974866507E+00
-48.72000E-06,-439.69839811E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-48.70000E-06,-238.69337142E-03,-376.88438594E-03,+4.79899497332E+00,+4.94974866509E+00
-48.68000E-06,-439.69839809E-03,-376.88438592E-03,+5.00000000000E+00,+4.94974866509E+00
-48.66000E-06,-238.69337139E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-48.64000E-06,-238.69337142E-03,-175.87935922E-03,+4.79899497330E+00,+4.94974866509E+00
-48.62000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-48.60000E-06,-37.68834476E-03,-175.87935922E-03,+4.79899497330E+00,+4.94974866509E+00
-48.58000E-06,-439.69839809E-03,-175.87935925E-03,+4.79899497330E+00,+4.94974866512E+00
-48.56000E-06,-238.69337142E-03,-175.87935922E-03,+4.99999999998E+00,+5.15075369179E+00
-48.54000E-06,-238.69337142E-03,-376.88438592E-03,+4.79899497333E+00,+4.94974866509E+00
-48.52000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-48.50000E-06,-238.69337142E-03,-376.88438592E-03,+4.99999999998E+00,+4.94974866509E+00
-48.48000E-06,-238.69337142E-03,-175.87935922E-03,+5.00000000000E+00,+4.94974866509E+00
-48.46000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497330E+00,+4.94974866509E+00
-48.44000E-06,-238.69337142E-03,-175.87935927E-03,+5.00000000000E+00,+4.94974866509E+00
-48.42000E-06,-238.69337142E-03,-577.88941259E-03,+5.00000000000E+00,+4.74874363842E+00
-48.40000E-06,-238.69337142E-03,-175.87935927E-03,+4.79899497333E+00,+4.94974866509E+00
-48.38000E-06,-439.69839809E-03,-175.87935925E-03,+4.99999999997E+00,+5.15075369177E+00
-48.36000E-06,-439.69839809E-03,-175.87935925E-03,+4.79899497333E+00,+5.15075369177E+00
-48.34000E-06,-439.69839809E-03,-175.87935925E-03,+4.79899497333E+00,+4.94974866509E+00
-48.32000E-06,-439.69839809E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866512E+00
-48.30000E-06,-37.68834472E-03,-175.87935925E-03,+4.59798994663E+00,+4.94974866509E+00
-48.28000E-06,-238.69337144E-03,-175.87935925E-03,+4.79899497330E+00,+5.15075369177E+00
-48.26000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497333E+00,+4.94974866509E+00
-48.24000E-06,-439.69839809E-03,-175.87935927E-03,+4.79899497330E+00,+4.94974866509E+00
-48.22000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497333E+00,+4.94974866509E+00
-48.20000E-06,-238.69337142E-03,-175.87935927E-03,+4.79899497333E+00,+4.94974866509E+00
-48.18000E-06,-439.69839808E-03,-175.87935925E-03,+4.79899497330E+00,+5.15075369179E+00
-48.16000E-06,-238.69337142E-03,+25.12566742E-03,+4.79899497330E+00,+4.94974866509E+00
-48.14000E-06,-439.69839811E-03,-175.87935925E-03,+4.79899497333E+00,+4.94974866506E+00
-48.12000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497333E+00,+4.94974866509E+00
-48.10000E-06,-238.69337142E-03,-175.87935922E-03,+4.79899497333E+00,+4.94974866509E+00
-48.08000E-06,-439.69839811E-03,-175.87935925E-03,+4.79899497330E+00,+4.94974866509E+00
-48.06000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497333E+00,+5.15075369176E+00
-48.04000E-06,-439.69839811E-03,-175.87935928E-03,+5.00000000000E+00,+4.94974866509E+00
-48.02000E-06,-238.69337145E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-48.00000E-06,-238.69337142E-03,-175.87935928E-03,+5.00000000000E+00,+4.94974866509E+00
-47.98000E-06,-238.69337138E-03,-175.87935925E-03,+4.79899497337E+00,+4.94974866509E+00
-47.96000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497330E+00,+4.94974866509E+00
-47.94000E-06,-238.69337142E-03,-376.88438594E-03,+5.00000000000E+00,+4.94974866513E+00
-47.92000E-06,-238.69337142E-03,-175.87935928E-03,+4.79899497330E+00,+5.15075369176E+00
-47.90000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866506E+00
-47.88000E-06,-439.69839808E-03,-175.87935928E-03,+4.79899497330E+00,+5.15075369176E+00
-47.86000E-06,-238.69337145E-03,-175.87935925E-03,+4.79899497334E+00,+4.94974866509E+00
-47.84000E-06,-238.69337142E-03,-376.88438591E-03,+4.79899497334E+00,+4.94974866509E+00
-47.82000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+5.15075369179E+00
-47.80000E-06,-238.69337138E-03,-175.87935925E-03,+4.79899497330E+00,+4.94974866509E+00
-47.78000E-06,-439.69839808E-03,-175.87935925E-03,+4.99999999996E+00,+5.15075369172E+00
-47.76000E-06,-439.69839808E-03,-175.87935925E-03,+4.59798994664E+00,+5.15075369179E+00
-47.74000E-06,-238.69337142E-03,-376.88438591E-03,+4.79899497334E+00,+5.15075369176E+00
-47.72000E-06,-439.69839808E-03,-175.87935928E-03,+4.79899497330E+00,+5.15075369176E+00
-47.70000E-06,-238.69337142E-03,-175.87935925E-03,+4.99999999996E+00,+4.94974866509E+00
-47.68000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-47.66000E-06,-439.69839808E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-47.64000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497334E+00,+4.94974866513E+00
-47.62000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-47.60000E-06,-439.69839808E-03,-376.88438594E-03,+4.79899497334E+00,+4.94974866509E+00
-47.58000E-06,-238.69337142E-03,-376.88438587E-03,+5.00000000000E+00,+4.94974866509E+00
-47.56000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,+5.15075369175E+00
-47.54000E-06,-439.69839811E-03,-175.87935921E-03,+5.00000000004E+00,+4.94974866509E+00
-47.52000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497334E+00,+5.15075369179E+00
-47.50000E-06,-37.68834476E-03,-175.87935925E-03,+5.00000000000E+00,+4.94974866509E+00
-47.48000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497330E+00,+4.94974866509E+00
-47.46000E-06,-238.69337146E-03,-376.88438590E-03,+4.79899497334E+00,+4.94974866505E+00
