x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-06,-238.69337142E-03,-376.88438594E-03,+5.00000000000E+00,-75.37700236E-03
-49.98000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,-276.38202906E-03
-49.96000E-06,-238.69337142E-03,-376.88438594E-03,+5.00000000000E+00,-75.37700236E-03
-49.94000E-06,-238.69337142E-03,-175.87935925E-03,+5.00000000000E+00,-75.37700236E-03
-49.92000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497330E+00,+125.62802434E-03
-49.90000E-06,-439.69839811E-03,-175.87935925E-03,+4.79899497330E+00,-75.37700236E-03
-49.88000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497330E+00,-75.37700236E-03
-49.86000E-06,-238.69337142E-03,-175.87935924E-03,+5.00000000000E+00,+125.62802434E-03
-49.84000E-06,-439.69839811E-03,+25.12566745E-03,+4.79899497330E+00,-75.37700236E-03
-49.82000E-06,-439.69839811E-03,-175.87935924E-03,+4.79899497330E+00,-75.37700236E-03
-49.80000E-06,-238.69337142E-03,-376.88438594E-03,+4.79899497330E+00,-75.37700236E-03
-49.78000E-06,-238.69337142E-03,-175.87935925E-03,+4.79899497330E+00,-75.37700236E-03
-49.76000E-06,-238.69337142E-03,+25.12566745E-03,+5.00000000000E+00,+125.62802434E-03
-49.74000E-06,-439.69839811E-03,-175.87935925E-03,+5.00000000000E+00,+125.62802434E-03
-49.72000E-06,-238.69337142E-03,-376.88438594E-03,+4.79899497331E+00,-75.37700235E-03
-49.70000E-06,-439.69839811E-03,-175.87935925E-03,+5.00000000000E+00,-75.37700236E-03
-49.68000E-06,-439.69839811E-03,-376.88438593E-03,+4.79899497331E+00,-75.37700236E-03
-49.66000E-06,-238.69337140E-03,+4.04522620140E+00,+5.00000000001E+00,-276.38202906E-03
-49.64000E-06,-37.68834472E-03,+5.65326641499E+00,+5.60301508010E+00,+125.62802435E-03
-49.62000E-06,-37.68834472E-03,+5.45226138831E+00,+5.60301508009E+00,+326.63305103E-03
-49.60000E-06,-238.69337142E-03,+4.24623122812E+00,+5.00000000000E+00,-477.38705575E-03
-49.58000E-06,-238.69337142E-03,+5.65326641500E+00,+5.40201005340E+00,-75.37700237E-03
-49.56000E-06,-238.69337141E-03,+4.84924630820E+00,+5.60301508009E+00,+527.63807773E-03
-49.54000E-06,-439.69839811E-03,+5.25125636160E+00,+4.79899497330E+00,-678.39208245E-03
-49.52000E-06,-238.69337142E-03,+4.64824128152E+00,+5.40201005340E+00,+125.62802434E-03
-49.50000E-06,-439.69839810E-03,+5.45226138829E+00,+5.20100502670E+00,-75.37700236E-03
-49.48000E-06,-439.69839811E-03,+4.84924630822E+00,+5.20100502669E+00,-75.37700237E-03
-49.46000E-06,-238.69337142E-03,+4.84924630821E+00,+5.40201005340E+00,-75.37700236E-03
-49.44000E-06,-439.69839810E-03,+5.25125636160E+00,+5.20100502670E+00,+125.62802433E-03
-49.42000E-06,-238.69337142E-03,+4.64824128151E+00,+5.40201005340E+00,-75.37700236E-03
-49.40000E-06,-238.69337142E-03,+5.05025133492E+00,+5.20100502669E+00,-276.38202906E-03
-49.38000E-06,-238.69337142E-03,+4.84924630821E+00,+5.20100502670E+00,+125.62802433E-03
-49.36000E-06,-238.69337142E-03,+5.25125636159E+00,+5.20100502670E+00,-75.37700237E-03
-49.34000E-06,-238.69337142E-03,+4.84924630821E+00,+5.20100502669E+00,-276.38202905E-03
-49.32000E-06,-238.69337142E-03,+5.05025133489E+00,+5.20100502670E+00,-75.37700236E-03
-49.30000E-06,-238.69337143E-03,+5.05025133491E+00,+5.20100502670E+00,+125.62802434E-03
