x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-06,-439.69839811E-03,+25.12566745E-03,-226.13069415E-03,-75.37700236E-03
-49.98000E-06,-37.68834472E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.96000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+125.62802434E-03
-49.94000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.92000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+125.62802434E-03
-49.90000E-06,-238.69337142E-03,-376.88438594E-03,-226.13069415E-03,-75.37700236E-03
-49.88000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.86000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.84000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566746E-03,-75.37700236E-03
-49.82000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+125.62802434E-03
-49.80000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.78000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,-75.37700236E-03
-49.76000E-06,-439.69839811E-03,-376.88438594E-03,-25.12566746E-03,-75.37700236E-03
-49.74000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.72000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,-75.37700236E-03
-49.70000E-06,-238.69337142E-03,-376.88438594E-03,-226.13069415E-03,-75.37700236E-03
-49.68000E-06,-238.69337142E-03,-376.88438594E-03,-226.13069415E-03,-75.37700236E-03
-49.66000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566746E-03,-276.38202905E-03
-49.64000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,-75.37700236E-03
-49.62000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-276.38202905E-03
-49.60000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,-75.37700236E-03
-49.58000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566746E-03,-75.37700236E-03
-49.56000E-06,-238.69337142E-03,+25.12566745E-03,-25.12566745E-03,+125.62802433E-03
-49.54000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700235E-03
-49.52000E-06,-238.69337142E-03,-376.88438594E-03,-226.13069414E-03,-75.37700236E-03
-49.50000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069414E-03,-75.37700236E-03
-49.48000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+125.62802433E-03
-49.46000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069414E-03,-75.37700236E-03
-49.44000E-06,-37.68834473E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.42000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.40000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+125.62802434E-03
-49.38000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.36000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.34000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.32000E-06,-439.69839810E-03,-376.88438593E-03,-226.13069414E-03,-75.37700236E-03
-49.30000E-06,-238.69337142E-03,-376.88438593E-03,-25.12566745E-03,-75.37700236E-03
-49.28000E-06,-439.69839811E-03,-376.88438594E-03,-25.12566746E-03,-75.37700237E-03
-49.26000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-276.38202904E-03
-49.24000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.22000E-06,-238.69337143E-03,-175.87935925E-03,-226.13069414E-03,-75.37700236E-03
-49.20000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069414E-03,-75.37700237E-03
-49.18000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,-75.37700235E-03
-49.16000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.14000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566747E-03,+125.62802433E-03
-49.12000E-06,-238.69337142E-03,+25.12566744E-03,-226.13069414E-03,-75.37700236E-03
-49.10000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.08000E-06,-238.69337142E-03,-175.87935923E-03,-25.12566747E-03,-276.38202904E-03
-49.06000E-06,-238.69337143E-03,-175.87935926E-03,-226.13069415E-03,-75.37700236E-03
-49.04000E-06,-238.69337143E-03,-376.88438593E-03,-25.12566745E-03,-276.38202904E-03
-49.02000E-06,-439.69839810E-03,-175.87935925E-03,-25.12566747E-03,-75.37700234E-03
-49.00000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566747E-03,-75.37700236E-03
-48.98000E-06,-439.69839810E-03,-175.87935926E-03,-226.13069413E-03,-75.37700236E-03
-48.96000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566747E-03,-75.37700236E-03
-48.94000E-06,-439.69839811E-03,-175.87935926E-03,-25.12566745E-03,-75.37700236E-03
-48.92000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-48.90000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566745E-03,-75.37700236E-03
-48.88000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-48.86000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-48.84000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566747E-03,+125.62802432E-03
-48.82000E-06,-238.69337143E-03,-175.87935925E-03,-226.13069415E-03,-75.37700234E-03
-48.80000E-06,-238.69337143E-03,-376.88438594E-03,-226.13069415E-03,-75.37700236E-03
-48.78000E-06,-37.68834474E-03,-175.87935925E-03,-226.13069413E-03,-75.37700234E-03
-48.76000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,-276.38202906E-03
-48.74000E-06,-238.69337143E-03,-175.87935923E-03,-25.12566745E-03,-276.38202904E-03
-48.72000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700234E-03
-48.70000E-06,-439.69839809E-03,+25.12566743E-03,-25.12566745E-03,-75.37700234E-03
-48.68000E-06,-238.69337142E-03,+25.12566743E-03,-25.12566745E-03,-75.37700236E-03
-48.66000E-06,-238.69337142E-03,+25.12566741E-03,-25.12566745E-03,-75.37700236E-03
-48.64000E-06,-238.69337144E-03,-175.87935925E-03,-25.12566745E-03,+125.62802432E-03
-48.62000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069413E-03,-75.37700236E-03
-48.60000E-06,-238.69337139E-03,-175.87935925E-03,-226.13069415E-03,-75.37700234E-03
-48.58000E-06,-439.69839811E-03,-376.88438594E-03,-226.13069415E-03,-276.38202903E-03
-48.56000E-06,-238.69337142E-03,+25.12566743E-03,-226.13069415E-03,+125.62802432E-03
-48.54000E-06,-238.69337142E-03,+25.12566743E-03,-226.13069413E-03,-75.37700236E-03
-48.52000E-06,-37.68834474E-03,-175.87935925E-03,-226.13069413E-03,-75.37700236E-03
-48.50000E-06,-238.69337142E-03,-175.87935927E-03,-25.12566748E-03,-276.38202901E-03
-48.48000E-06,-238.69337144E-03,-175.87935925E-03,-25.12566748E-03,+125.62802434E-03
-48.46000E-06,-238.69337144E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-48.44000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566745E-03,-75.37700238E-03
-48.42000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566748E-03,-75.37700236E-03
-48.40000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-48.38000E-06,-238.69337142E-03,-376.88438592E-03,-226.13069413E-03,-75.37700233E-03
-48.36000E-06,-439.69839811E-03,+25.12566743E-03,-25.12566748E-03,-75.37700236E-03
-48.34000E-06,-238.69337144E-03,-175.87935927E-03,-25.12566748E-03,-276.38202903E-03
-48.32000E-06,-238.69337144E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-48.30000E-06,-238.69337144E-03,-175.87935922E-03,-25.12566748E-03,-75.37700236E-03
-48.28000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069412E-03,-75.37700239E-03
-48.26000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566748E-03,-75.37700236E-03
-48.24000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-276.38202903E-03
-48.22000E-06,-238.69337144E-03,-175.87935925E-03,-226.13069412E-03,+125.62802431E-03
-48.20000E-06,-439.69839811E-03,+25.12566742E-03,-25.12566748E-03,-75.37700236E-03
-48.18000E-06,-238.69337144E-03,-376.88438591E-03,-25.12566745E-03,-75.37700236E-03
-48.16000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+125.62802434E-03
